,V1,V2,V3,V4,V5,V6
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%,%,%,%
n,34,34,34,6,6,6
Soil_Median,43.1,34.5,22.0,38.2,38.0,24.4
Soil_MAD,4.70,3.55,4.90,3.11,3.60,3.45
Soil 2016-106_Median,15.9,52.6,32.3,8.85,56.3,33.9
Soil 2016-106_MAD,3.50,4.20,2.50,3.70,5.15,3.41
Soil 2016-107_Median,30.3,54.9,13.8,25.3,60.9,13.1
Soil 2016-107_MAD,2.65,3.35,1.80,0.950,1.80,1.75
Soil 2016-108_Median,86.0,8.40,5.02,88.3,8.00,4.10
Soil 2016-108_MAD,1.80,1.65,1.00,1.20,2.96,0.225
Soil 2016-109_Median,31.4,44.5,24.0,26.5,44.8,26.9
Soil 2016-109_MAD,2.65,2.72,2.90,2.95,3.65,3.10
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%,%,%,%
n,34,34,34,6,6,6
Soil_Median,43.1,34.5,22.0,38.2,38.0,24.4
Soil_MAD,4.70,3.55,4.90,3.11,3.60,3.45
Soil 2016-106_Median,15.9,52.6,32.3,8.85,56.3,33.9
Soil 2016-106_MAD,3.50,4.20,2.50,3.70,5.15,3.41
Soil 2016-107_Median,30.3,54.9,13.8,25.3,60.9,13.1
Soil 2016-107_MAD,2.65,3.35,1.80,0.950,1.80,1.75
Soil 2016-108_Median,86.0,8.40,5.02,88.3,8.00,4.10
Soil 2016-108_MAD,1.80,1.65,1.00,1.20,2.96,0.225
Soil 2016-109_Median,31.4,44.5,24.0,26.5,44.8,26.9
Soil 2016-109_MAD,2.65,2.72,2.90,2.95,3.65,3.10
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%,%,%,%
n,34,34,34,6,6,6
Soil_Median,43.1,34.5,22.0,38.2,38.0,24.4
Soil_MAD,4.70,3.55,4.90,3.11,3.60,3.45
Soil 2016-106_Median,15.9,52.6,32.3,8.85,56.3,33.9
Soil 2016-106_MAD,3.50,4.20,2.50,3.70,5.15,3.41
Soil 2016-107_Median,30.3,54.9,13.8,25.3,60.9,13.1
Soil 2016-107_MAD,2.65,3.35,1.80,0.950,1.80,1.75
Soil 2016-108_Median,86.0,8.40,5.02,88.3,8.00,4.10
Soil 2016-108_MAD,1.80,1.65,1.00,1.20,2.96,0.225
Soil 2016-109_Median,31.4,44.5,24.0,26.5,44.8,26.9
Soil 2016-109_MAD,2.65,2.72,2.90,2.95,3.65,3.10
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%,%,%,%
n,34,34,34,6,6,6
Soil_Median,43.1,34.5,22.0,38.2,38.0,24.4
Soil_MAD,4.70,3.55,4.90,3.11,3.60,3.45
Soil 2016-106_Median,15.9,52.6,32.3,8.85,56.3,33.9
Soil 2016-106_MAD,3.50,4.20,2.50,3.70,5.15,3.41
Soil 2016-107_Median,30.3,54.9,13.8,25.3,60.9,13.1
Soil 2016-107_MAD,2.65,3.35,1.80,0.950,1.80,1.75
Soil 2016-108_Median,86.0,8.40,5.02,88.3,8.00,4.10
Soil 2016-108_MAD,1.80,1.65,1.00,1.20,2.96,0.225
Soil 2016-109_Median,31.4,44.5,24.0,26.5,44.8,26.9
Soil 2016-109_MAD,2.65,2.72,2.90,2.95,3.65,3.10
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%,%,%,%
n,34,34,34,6,6,6
Soil_Median,43.1,34.5,22.0,38.2,38.0,24.4
Soil_MAD,4.70,3.55,4.90,3.11,3.60,3.45
Soil 2016-106_Median,15.9,52.6,32.3,8.85,56.3,33.9
Soil 2016-106_MAD,3.50,4.20,2.50,3.70,5.15,3.41
Soil 2016-107_Median,30.3,54.9,13.8,25.3,60.9,13.1
Soil 2016-107_MAD,2.65,3.35,1.80,0.950,1.80,1.75
Soil 2016-108_Median,86.0,8.40,5.02,88.3,8.00,4.10
Soil 2016-108_MAD,1.80,1.65,1.00,1.20,2.96,0.225
Soil 2016-109_Median,31.4,44.5,24.0,26.5,44.8,26.9
Soil 2016-109_MAD,2.65,2.72,2.90,2.95,3.65,3.10
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%,%,%,%
n,34,34,34,6,6,6
Soil_Median,43.1,34.5,22.0,38.2,38.0,24.4
Soil_MAD,4.70,3.55,4.90,3.11,3.60,3.45
Soil 2016-106_Median,15.9,52.6,32.3,8.85,56.3,33.9
Soil 2016-106_MAD,3.50,4.20,2.50,3.70,5.15,3.41
Soil 2016-107_Median,30.3,54.9,13.8,25.3,60.9,13.1
Soil 2016-107_MAD,2.65,3.35,1.80,0.950,1.80,1.75
Soil 2016-108_Median,86.0,8.40,5.02,88.3,8.00,4.10
Soil 2016-108_MAD,1.80,1.65,1.00,1.20,2.96,0.225
Soil 2016-109_Median,31.4,44.5,24.0,26.5,44.8,26.9
Soil 2016-109_MAD,2.65,2.72,2.90,2.95,3.65,3.10
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%,%,%,%
n,34,34,34,6,6,6
Soil_Median,43.1,34.5,22.0,38.2,38.0,24.4
